Year,Round,Seed 1,Seed 2,Team 1,Team 2,TO 1,TO 2,GP 1,GP 2,Points 1,Points 2,Points Allowed 1,Points Allowed 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,3P 1,3P 2,Score 1,Score 2,Winner
2024,First Four,10,10,Virginia,Colorado State,8.2,10.1,33,34,2098,2596,1964,2324,63.6,76.4,59.5,68.4,69.7,70.6,36.3,39.4,42,67,Colorado State
2024,First Four,16,16,Montana State,Grambling,11.6,13.4,34,34,2554,2298,2518,2347,75.1,67.6,74.1,69,50,58.8,36.7,33.9,81,88,Grambling
2024,First Four,10,10,Boise State,Colorado,11.2,12.7,32,34,2426,2696,2161,2420,75.8,79.3,67.5,71.2,68.8,70.6,34.5,39.4,53,60,Colorado
2024,R1,1,16,UConn,Stetson,9.9,10.4,34,34,2770,2635,2190,2475,81.5,77.5,64.4,72.8,91.2,64.7,36.7,37,91,52,UConn
2024,R1,8,9,Florida Atlantic,Northwestern,11.1,8.8,33,32,2724,2358,2418,2208,82.5,73.7,73.3,69,75.8,65.6,35.6,39.4,65,77,Northwestern
2024,R1,5,12,San Diego State,UAB,11.1,11.5,34,34,2536,2646,2263,2558,74.6,77.8,66.6,75.2,70.6,67.6,31.3,32.6,69,65,San Diego State
2024,R1,4,13,Auburn,Yale,10.6,9.5,34,31,2833,2330,2313,2065,83.3,75.2,68,66.6,79.4,71,35.2,34.7,76,78,Yale
2024,R1,6,11,BYU,Duquesne,10.7,11.8,33,35,2701,2477,2307,2311,81.8,70.8,69.9,66,69.7,68.6,34.8,34,67,71,Duquesne
2024,R1,3,14,Illinois,Morehead State,10.8,12,34,34,2870,2566,2165,2135,84.4,75.5,63.7,62.8,76.5,76.5,35,36.1,85,69,Illinois
2024,R1,7,10,Washington State,Drake,10.8,9.7,33,34,2452,2736,2207,2397,74.3,80.5,66.9,70.5,72.7,82.3,34,36.7,66,61,Washington State
2024,R1,2,15,Iowa State,South Dakota State,10.7,11.2,34,34,2569,2610,2084,2408,75.6,76.8,61.3,70.8,79.4,64.7,34.9,36.3,82,65,Iowa State
2024,R1,1,16,North Carolina,Wagner,10.3,10,34,32,2770,2041,2388,1993,81.5,63.8,70.2,62.3,79.4,51.6,35.4,32.2,90,62,North Carolina
2024,R1,8,9,Mississippi State,Michigan State,12.9,9.8,34,33,2542,2413,2348,2176,74.8,73.1,69.1,65.9,61.8,57.6,32.5,35.9,51,69,Michigan State
2024,R1,5,12,Saint Mary’s,Grand Canyon,10.1,12.3,33,33,2450,2633,1938,2208,74.2,79.8,58.7,66.9,78.8,87.9,35.5,34.4,66,75,Grand Canyon
2024,R1,4,13,Alabama,Charleston,12,9.9,32,34,2904,2736,2594,2466,90.8,80.5,81.1,72.5,65.6,79.4,36.5,34.5,109,96,Alabama
