,Year,Round,Seed 1,Seed 2,Team 1,Team 2,TO 1,TO 2,GP 1,GP 2,Points 1,Points 2,Points Allowed 1,Points Allowed 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,3P 1,3P 2,Score 1,Score 2,Winner
81,2022,R1,5,12,Saint Mary's ,Indiana,11.3,11.9,32,34,2232,2425,1936,2234,69.8,71.3,60.5,65.7,78.1,60.6,35,33.9,82,53,Saint Mary's
82,2022,R1,4,13,UCLA,Akron,9.2,11.5,32,33,2444,2349,2074,2073,76.4,71.2,64.8,62.8,78.1,72.7,35.1,35.7,57,53,UCLA
83,2022,R1,6,11,Texas,Virginia Tech,11.8,10.8,32,35,2187,2476,1908,2180,68.3,70.7,59.6,62.3,65.6,65.7,32.3,39.3,81,73,Texas
84,2022,R1,3,14,Purdue,Yale,11.7,12.9,34,30,2713,2170,2338,2065,79.8,72.3,68.8,68.8,79.4,63.3,39.1,33,78,56,Purdue
85,2022,R1,7,10,Murray State,San Francisco,11.4,12.9,32,33,2538,2543,1993,2212,79.3,77.1,62.3,67,93.8,72.7,35.3,35.4,92,87,Murray State
86,2022,R1,2,15,Kentucky,Saint Peter's,11.6,13.9,33,30,2622,2006,2178,1853,79.5,66.9,66,61.8,78.8,63.3,34.9,35.3,79,85,Saint Peter's 
87,2022,R1,1,16,Arizona,Wright State,13.2,12.3,34,35,2875,2659,2296,2498,84.6,76,67.5,71.4,91.2,61.8,35.4,32.9,87,70,Arizona
88,2022,R1,8,9,Seton Hall,TCU,12,14.5,31,32,2260,2179,2056,2080,72.9,68.1,66.3,65,67.7,62.5,34,30.4,42,69,TCU
89,2022,R1,5,12,Houston,UAB,11.3,11.5,34,34,2578,2743,2002,2254,75.8,80.7,58.9,66.3,85.3,79.4,34.1,38,82,68,Houston
90,2022,R1,4,13,Illinois ,Chattanooga,12.2,11,31,34,2349,2543,2097,2199,75.8,74.8,67.6,64.7,71,79.4,36.7,34.6,54,53,Illinois
91,2022,R1,6,11,Colorado State,Michigan,10.1,11.5,30,31,2212,2264,1972,2166,73.7,73,65.7,69.9,83.3,54.8,35.8,34,63,75,Michigan
